benchmark_type,task,model_name,n_channel,kernel_size,perturbation_type,strength,status,runtime
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.1530346870422363
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,3.279819965362549
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.1103408336639404
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,3.6894569396972656
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,1.9972772598266602
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.4112372398376465
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.127772331237793
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.0995826721191406
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,1.982917070388794
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,2.710038661956787
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.3076560497283936
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.757162094116211
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.6667046546936035
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,3.716531276702881
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.4660751819610596
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.4803574085235596
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.097041368484497
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.3729641437530518
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.398829460144043
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,2.1043834686279297
time_invariant,kws,m5,32,301,lowpass,1.0,timeout,30
time_invariant,kws,m5,32,301,lowpass,1.0,sat,2.0911598205566406
time_invariant,kws,m5,32,301,lowpass,1.0,timeout,30
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,4.921269416809082
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.9626908302307129
time_invariant,kws,m5,32,301,lowpass,1.0,sat,2.244687080383301
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,3.680851459503174
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,3.2488059997558594
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,3.4229910373687744
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,3.566504716873169
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.138334035873413
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.599928379058838
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.0989012718200684
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.864182233810425
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.5660629272460938
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.345606565475464
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.487887382507324
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.5616161823272705
time_invariant,kws,m5,32,301,echo,0.1,unsat,2.3794608116149902
time_invariant,kws,m5,32,301,echo,0.1,unsat,1.968034267425537
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.912407875061035
time_invariant,kws,m5,32,301,echo,0.5,unsat,3.0170586109161377
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.7665584087371826
time_invariant,kws,m5,32,301,echo,0.5,timeout,30
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.9586212635040283
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.9149582386016846
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.8242735862731934
time_invariant,kws,m5,32,301,echo,0.5,unsat,2.8632185459136963
time_invariant,kws,m5,32,301,echo,0.5,unsat,3.1156067848205566
time_invariant,kws,m5,32,301,echo,0.5,unsat,3.043778896331787
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.197303295135498
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.6712567806243896
time_invariant,kws,m5,32,301,echo,1.0,unsat,2.9952423572540283
time_invariant,kws,m5,32,301,echo,1.0,timeout,30
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.2452659606933594
time_invariant,kws,m5,32,301,echo,1.0,unsat,2.981074810028076
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.024613618850708
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.3578145503997803
time_invariant,kws,m5,32,301,echo,1.0,unsat,3.1744494438171387
time_invariant,kws,m5,32,301,echo,1.0,unsat,10.764769077301025
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.115835428237915
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.301467180252075
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.086998224258423
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.7854154109954834
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.122910976409912
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.3862180709838867
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.080312728881836
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.0823373794555664
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.111168384552002
time_invariant,kws,m5,32,301,highpass,0.1,unsat,2.1115596294403076
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.401698112487793
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.537245273590088
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.502606153488159
time_invariant,kws,m5,32,301,highpass,0.5,unsat,3.954072952270508
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.5776946544647217
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.6776740550994873
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.1399457454681396
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.500701665878296
time_invariant,kws,m5,32,301,highpass,0.5,unsat,2.4884088039398193
