benchmark_type,task,model_name,n_channel,kernel_size,perturbation_type,strength,status,runtime
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4744
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.7874
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4879
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.8275
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4883
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.7261
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4796
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4666
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.4836
time_invariant,kws,m5,32,301,lowpass,0.1,unsat,4.8259
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.7229
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.8339
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.7297
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,5.1039
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.7420
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.8804
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.4946
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.7897
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.7792
time_invariant,kws,m5,32,301,lowpass,0.5,unsat,4.4741
time_invariant,kws,m5,32,301,lowpass,1.0,timeout,30
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.8108
time_invariant,kws,m5,32,301,lowpass,1.0,timeout,30
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,5.3498
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.7991
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.8071
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,5.1748
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,5.0248
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,5.2674
time_invariant,kws,m5,32,301,lowpass,1.0,unsat,5.1885
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.4656
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7797
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.4782
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.9191
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7521
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7302
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7254
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7135
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.7719
time_invariant,kws,m5,32,301,echo,0.1,unsat,4.4850
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9546
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9066
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9099
time_invariant,kws,m5,32,301,echo,0.5,timeout,30
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9637
time_invariant,kws,m5,32,301,echo,0.5,unsat,5.0012
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9569
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9505
time_invariant,kws,m5,32,301,echo,0.5,unsat,4.9943
time_invariant,kws,m5,32,301,echo,0.5,unsat,5.0184
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.0721
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.0905
time_invariant,kws,m5,32,301,echo,1.0,unsat,4.9805
time_invariant,kws,m5,32,301,echo,1.0,timeout,30
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.0342
time_invariant,kws,m5,32,301,echo,1.0,unsat,4.9943
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.0263
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.1164
time_invariant,kws,m5,32,301,echo,1.0,unsat,5.0565
time_invariant,kws,m5,32,301,echo,1.0,unsat,6.1814
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5506
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.7810
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5230
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.8926
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5690
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.8298
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5262
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5217
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5171
time_invariant,kws,m5,32,301,highpass,0.1,unsat,4.5162
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.8090
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.9876
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.9292
time_invariant,kws,m5,32,301,highpass,0.5,unsat,5.7519
time_invariant,kws,m5,32,301,highpass,0.5,unsat,5.2219
time_invariant,kws,m5,32,301,highpass,0.5,unsat,5.1029
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.6629
time_invariant,kws,m5,32,301,highpass,0.5,unsat,5.1390
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.9309
time_invariant,kws,m5,32,301,highpass,0.5,unsat,4.7017
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.0215
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.2996
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.3242
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.5892
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.3631
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.8757
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.2199
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.5246
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.1201
time_invariant,kws,m5,32,301,highpass,1.0,unsat,5.0586
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.5181
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.8072
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.4828
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.8187
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.4824
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.7338
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.4611
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.4981
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.4969
time_invariant,kws,m5,32,501,lowpass,0.1,unsat,4.8105
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.7750
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.8885
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.7804
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,5.1349
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.7083
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.8475
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.4990
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.7875
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.7635
time_invariant,kws,m5,32,501,lowpass,0.5,unsat,4.4687
time_invariant,kws,m5,32,501,lowpass,1.0,timeout,30
time_invariant,kws,m5,32,501,lowpass,1.0,sat,0.8058
time_invariant,kws,m5,32,501,lowpass,1.0,unsat,5.3020
