benchmark_type,task,model_name,n_channel,kernel_size,perturbation_type,strength,status,runtime
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2453
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2670
time_invariant,kws,m5,32,301,lowpass,0.1,sat,0.9215
time_invariant,kws,m5,32,301,lowpass,0.1,sat,0.9474
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2600
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2840
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2511
time_invariant,kws,m5,32,301,lowpass,0.1,sat,0.9992
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2597
time_invariant,kws,m5,32,301,lowpass,0.1,sat,1.2567
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2446
time_invariant,kws,m5,32,301,lowpass,0.5,sat,0.9269
time_invariant,kws,m5,32,301,lowpass,0.5,sat,0.9317
time_invariant,kws,m5,32,301,lowpass,0.5,sat,0.9297
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2660
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2466
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2580
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2605
time_invariant,kws,m5,32,301,lowpass,0.5,sat,1.2425
time_invariant,kws,m5,32,301,lowpass,0.5,sat,0.9336
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2749
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.9975
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.9988
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.9485
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2637
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2581
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2490
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2460
time_invariant,kws,m5,32,301,lowpass,1.0,sat,1.2567
time_invariant,kws,m5,32,301,lowpass,1.0,sat,0.9879
time_invariant,kws,m5,32,301,echo,0.1,sat,1.0174
time_invariant,kws,m5,32,301,echo,0.1,sat,1.2474
time_invariant,kws,m5,32,301,echo,0.1,sat,0.9910
time_invariant,kws,m5,32,301,echo,0.1,sat,1.0011
time_invariant,kws,m5,32,301,echo,0.1,sat,0.9508
time_invariant,kws,m5,32,301,echo,0.1,sat,1.0200
time_invariant,kws,m5,32,301,echo,0.1,sat,0.9825
time_invariant,kws,m5,32,301,echo,0.1,sat,0.9943
time_invariant,kws,m5,32,301,echo,0.1,sat,1.2542
time_invariant,kws,m5,32,301,echo,0.1,sat,0.9887
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9218
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9815
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9939
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9986
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9789
time_invariant,kws,m5,32,301,echo,0.5,sat,1.0293
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9284
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9321
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9960
time_invariant,kws,m5,32,301,echo,0.5,sat,0.9806
time_invariant,kws,m5,32,301,echo,1.0,sat,1.0091
time_invariant,kws,m5,32,301,echo,1.0,sat,1.2741
time_invariant,kws,m5,32,301,echo,1.0,sat,1.0037
time_invariant,kws,m5,32,301,echo,1.0,sat,0.9821
time_invariant,kws,m5,32,301,echo,1.0,sat,0.9288
time_invariant,kws,m5,32,301,echo,1.0,sat,1.2581
time_invariant,kws,m5,32,301,echo,1.0,sat,0.9416
time_invariant,kws,m5,32,301,echo,1.0,sat,0.9322
time_invariant,kws,m5,32,301,echo,1.0,sat,1.0144
time_invariant,kws,m5,32,301,echo,1.0,sat,0.9642
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9925
time_invariant,kws,m5,32,301,highpass,0.1,sat,1.2891
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9394
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9897
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9866
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9884
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9625
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9777
time_invariant,kws,m5,32,301,highpass,0.1,sat,1.0133
time_invariant,kws,m5,32,301,highpass,0.1,sat,0.9862
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9583
time_invariant,kws,m5,32,301,highpass,0.5,sat,1.3048
time_invariant,kws,m5,32,301,highpass,0.5,sat,1.0164
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9931
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9355
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9957
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9646
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9460
time_invariant,kws,m5,32,301,highpass,0.5,sat,1.0254
time_invariant,kws,m5,32,301,highpass,0.5,sat,0.9885
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9772
time_invariant,kws,m5,32,301,highpass,1.0,sat,1.2965
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9974
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9533
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9318
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9821
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9332
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9386
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9904
time_invariant,kws,m5,32,301,highpass,1.0,sat,0.9301
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.3882
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2592
time_invariant,kws,m5,32,501,lowpass,0.1,sat,0.9419
time_invariant,kws,m5,32,501,lowpass,0.1,sat,0.9329
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2874
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2526
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2645
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.0062
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2738
time_invariant,kws,m5,32,501,lowpass,0.1,sat,1.2810
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2575
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.0017
time_invariant,kws,m5,32,501,lowpass,0.5,sat,0.9347
time_invariant,kws,m5,32,501,lowpass,0.5,sat,0.9366
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2812
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2533
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2587
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2711
time_invariant,kws,m5,32,501,lowpass,0.5,sat,1.2954
time_invariant,kws,m5,32,501,lowpass,0.5,sat,0.9409
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.2495
time_invariant,kws,m5,32,501,lowpass,1.0,sat,0.9424
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.0199
time_invariant,kws,m5,32,501,lowpass,1.0,sat,0.9346
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.3216
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.2494
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.2760
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.2684
time_invariant,kws,m5,32,501,lowpass,1.0,sat,1.2527
time_invariant,kws,m5,32,501,lowpass,1.0,sat,0.9566
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9402
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9919
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9983
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9849
time_invariant,kws,m5,32,501,echo,0.1,sat,1.0139
time_invariant,kws,m5,32,501,echo,0.1,sat,1.2490
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9358
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9754
time_invariant,kws,m5,32,501,echo,0.1,sat,1.2559
time_invariant,kws,m5,32,501,echo,0.1,sat,0.9537
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9997
time_invariant,kws,m5,32,501,echo,0.5,sat,1.2573
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9900
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9913
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9888
time_invariant,kws,m5,32,501,echo,0.5,sat,1.0075
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9380
time_invariant,kws,m5,32,501,echo,0.5,sat,1.0116
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9847
time_invariant,kws,m5,32,501,echo,0.5,sat,0.9940
time_invariant,kws,m5,32,501,echo,1.0,sat,0.9410
time_invariant,kws,m5,32,501,echo,1.0,sat,1.2803
time_invariant,kws,m5,32,501,echo,1.0,sat,0.9772
time_invariant,kws,m5,32,501,echo,1.0,sat,1.0233
time_invariant,kws,m5,32,501,echo,1.0,sat,1.0007
time_invariant,kws,m5,32,501,echo,1.0,sat,0.9956
time_invariant,kws,m5,32,501,echo,1.0,sat,0.9526
time_invariant,kws,m5,32,501,echo,1.0,sat,0.9607
time_invariant,kws,m5,32,501,echo,1.0,sat,1.0049
time_invariant,kws,m5,32,501,echo,1.0,sat,1.0100
time_invariant,kws,m5,32,501,highpass,0.1,sat,0.9590
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.0236
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.0201
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.0234
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.0264
time_invariant,kws,m5,32,501,highpass,0.1,sat,0.9541
time_invariant,kws,m5,32,501,highpass,0.1,sat,0.9456
time_invariant,kws,m5,32,501,highpass,0.1,sat,0.9478
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.2705
time_invariant,kws,m5,32,501,highpass,0.1,sat,1.0292
time_invariant,kws,m5,32,501,highpass,0.5,sat,0.9692
time_invariant,kws,m5,32,501,highpass,0.5,sat,1.0040
time_invariant,kws,m5,32,501,highpass,0.5,sat,0.9611
time_invariant,kws,m5,32,501,highpass,0.5,sat,0.9617
time_invariant,kws,m5,32,501,highpass,0.5,sat,0.9583
time_invariant,kws,m5,32,501,highpass,0.5,sat,1.0015
time_invariant,kws,m5,32,501,highpass,0.5,sat,1.0216
time_invariant,kws,m5,32,501,highpass,0.5,sat,0.9570
time_invariant,kws,m5,32,501,highpass,0.5,sat,1.0071
time_invariant,kws,m5,32,501,highpass,0.5,sat,1.0122
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0040
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.3353
time_invariant,kws,m5,32,501,highpass,1.0,sat,0.9895
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0083
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0171
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0361
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0126
time_invariant,kws,m5,32,501,highpass,1.0,sat,0.9560
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0132
time_invariant,kws,m5,32,501,highpass,1.0,sat,1.0301
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.2761
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.2864
time_invariant,kws,m5,32,701,lowpass,0.1,sat,0.9520
time_invariant,kws,m5,32,701,lowpass,0.1,sat,0.9577
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.3200
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.2825
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.2904
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.0190
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.3043
time_invariant,kws,m5,32,701,lowpass,0.1,sat,1.0325
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.0157
time_invariant,kws,m5,32,701,lowpass,0.5,sat,0.9542
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.0113
time_invariant,kws,m5,32,701,lowpass,0.5,sat,0.9521
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.2864
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.0207
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.2873
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.3176
time_invariant,kws,m5,32,701,lowpass,0.5,sat,1.2617
time_invariant,kws,m5,32,701,lowpass,0.5,sat,0.9962
time_invariant,kws,m5,32,701,lowpass,1.0,sat,1.2695
time_invariant,kws,m5,32,701,lowpass,1.0,sat,0.9779
time_invariant,kws,m5,32,701,lowpass,1.0,sat,1.0289
